c..sub.29.2.one.month....sub.31.0.initial....sub.20.0.initial...
1	sub.29.2.one.month
2	sub.31.0.initial
3	sub.20.0.initial
4	sub.20.1.two.week
5	sub.46.2.one.month
6	sub.31.1.two.week
7	sub.24.2.one.month
8	sub.2.1.two.week
9	sub.2.2.one.month
10	sub.58.2.one.month
11	sub.78.1.two.week
12	sub.57.2.one.month
13	sub.55.2.one.month
14	sub.67.1.two.week
15	sub.24.3.twomonth
16	sub.78.0.initial
17	sub.31.2.one.month
18	sub.46.3.twomonth
19	sub.57.1.two.week
20	sub.58.1.two.week
21	sub.67.0.initial
22	sub.53.3.twomonth
23	sub.58.0.initial
24	sub.110.0.initial
25	sub.99.1.two.week
26	sub.84.0.initial
27	sub.84.2.one.month
28	sub.97.1.two.week
29	sub.111.0.initial
30	sub.20.3.twomonth
31	sub.78.2.one.month
32	sub.31.3.twomonth
33	sub.67.2.one.month
34	sub.99.0.initial
35	sub.29.3.twomonth
36	sub.111.1.two.week
37	sub.97.0.initial
38	sub.84.1.two.week
39	sub.96.2.one.month
40	sub.99.2.one.month
41	sub.67.3.twomonth
42	sub.139.0.initial
43	sub.46.4.fourmonth
44	sub.53.4.fourmonth
45	sub.110.1.two.week
46	sub.55.3.twomonth
47	sub.58.3.twomonth
48	sub.110.3.twomonth
49	sub.31.4.fourmonth
50	sub.57.4.fourmonth
51	sub.149.2.one.month
52	sub.162.1.two.week
53	sub.162.0.initial
54	sub.134.2.one.month
55	sub.165.1.two.week
56	sub.111.3.twomonth
57	sub.139.2.one.month
58	sub.84.3.twomonth
59	sub.134.1.two.week
60	sub.99.3.twomonth
61	sub.139.1.two.week
62	sub.165.0.initial
63	sub.20.4.fourmonth
64	sub.96.3.twomonth
65	sub.97.3.twomonth
66	sub.29.4.fourmonth
67	sub.78.3.twomonth
68	sub.149.3.twomonth
69	sub.78.4.fourmonth
70	sub.67.4.fourmonth
71	sub.197.0.initial
72	sub.188.1.two.week
73	sub.184.1.two.week
74	sub.164.2.one.month
75	sub.134.3.twomonth
76	sub.2.5.sixmonth
77	sub.439.20.sick
78	sub.659.4.fourmonth
79	sub.782.1.two.week
80	sub.758.2.one.month
81	sub.439.21.sick
