"sampleID" "shannon" "chao1" "consequtive" "bray" "jacc"
"62" "sub.84.3.twomonth" 1.47387879041014 22 "sub.84.4.fourmonth" 0.434716248092133 0.7
"63" "sub.134.1.two.week" 3.56179225216834 38 "sub.134.2.one.month" 0.789870351262842 0.558139534883721
"64" "sub.99.3.twomonth" 1.9723282518175 21 "sub.99.4.fourmonth" 0.366533801524786 0.565217391304348
"65" "sub.139.1.two.week" 2.1777124912506 32 "sub.139.2.one.month" 0.90280752584008 0.535714285714286
"67" "sub.165.0.initial" 1.63411722109316 18 "sub.165.1.two.week" 0.818628815288988 0.45
"68" "sub.20.4.fourmonth" 1.45671618407665 23 "sub.20.5.sixmonth" 0.674780200925345 0.62962962962963
"69" "sub.96.3.twomonth" 2.60577811128986 28 "sub.96.4.fourmonth" 0.479793954042495 0.333333333333333
"70" "sub.97.3.twomonth" 1.57690110947889 25 "sub.97.4.fourmonth" 0.675926194973122 0.521739130434783
"71" "sub.29.4.fourmonth" 3.03848454066627 27 "sub.29.5.sixmonth" 0.883586083853702 0.484848484848485
"72" "sub.78.3.twomonth" 1.52215379715312 33 "sub.78.4.fourmonth" 0.729854192959373 0.354838709677419
"73" "sub.149.3.twomonth" 1.05420729420812 29 "sub.149.5.sixmonth" 0.936590626296143 0.578947368421053
"74" "sub.78.4.fourmonth" 2.73417286773906 37 "sub.78.5.sixmonth" 0.787039186309059 0.545454545454545
"75" "sub.67.4.fourmonth" 2.68495849026906 28 "sub.67.5.sixmonth" 0.702746762634185 0.583333333333333
"76" "sub.197.0.initial" 1.06181966113793 21 "sub.197.1.two.week" 0.946955476036839 0.620689655172414
"77" "sub.188.1.two.week" 2.44110168627743 32 "sub.188.2.one.month" 0.819322817126394 0.555555555555556
"78" "sub.184.1.two.week" 2.73691968604214 49 "sub.184.2.one.month" 0.433381338488956 0.711111111111111
"79" "sub.164.2.one.month" 1.75840744194236 34 "sub.164.3.twomonth" 0.919063778503695 0.586206896551724
"80" "sub.134.3.twomonth" 2.31066413072703 38 "sub.134.4.fourmonth" 0.922401773121096 0.760869565217391
"81" "sub.2.5.sixmonth" 3.35280793213561 28 "sub.2.11.sick" 0.750082917253063 0.375
"83" "sub.439.20.sick" 3.38836352986851 43 "sub.439.21.sick" 0.437546793112054 0.34
"84" "sub.659.4.fourmonth" 3.44312447914385 31 "sub.659.5.sixmonth" 0.615725347917908 0.625
"85" "sub.782.1.two.week" 1.7968270336388 34 "sub.782.2.one.month" 0.588942771802705 0.764705882352941
"86" "sub.758.2.one.month" 2.76641223334351 46 "sub.758.3.twomonth" 0.720119174770926 0.568181818181818
"87" "sub.439.21.sick" 3.74806621612551 49 "sub.439.7.one.year" 0.845343566013957 0.566037735849057
"88" "sub.666.4.fourmonth" 2.32299535584274 23 "sub.666.5.sixmonth" 0.524498751424346 0.56
"89" "sub.526.20.sick" 1.20403407326924 36 "sub.526.21.sick" 0.27847491277781 0.444444444444444
"90" "sub.781.11.sick" 1.89241603271658 22 "sub.781.2.one.month" 0.657009262159381 0.692307692307692
"91" "sub.669.4.fourmonth" 3.19954877617834 32 "sub.669.6.ninemonth" 0.63726863701269 0.58974358974359
"92" "sub.554.20.sick" 1.92376813735933 32 "sub.554.23.sick" 0.202245591448431 0.387096774193548
"93" "sub.665.4.fourmonth" 2.75762681437874 23 "sub.665.17.sick" 0.938520108541574 0.657894736842105
"94" "sub.728.3.twomonth" 1.15868180783361 27 "sub.728.13.sick" 0.399216209072208 0.576923076923077
"95" "sub.484.6.ninemonth" 3.12911413705765 30 NA NA NA
"96" "sub.652.11.sick" 1.67086952383576 23 "sub.652.5.sixmonth" 0.842490529493862 0.538461538461538
"97" "sub.738.3.twomonth" 2.53494482610594 21 NA NA NA
"98" "sub.671.4.fourmonth" 2.38044314133421 20 "sub.671.5.sixmonth" 0.607838765773398 0.615384615384615
"99" "sub.790.11.sick" 1.25229805834245 13 "sub.790.2.one.month" 0.306755672702269 0.736842105263158
"100" "sub.554.23.sick" 1.58939405362919 26 "sub.554.21.sick" 0.442327102732813 0.25
"101" "sub.728.13.sick" 1.39001456487187 13 "sub.728.11.sick" 0.568172807003632 0.67741935483871
"102" "sub.571.5.sixmonth" 0.658818462931935 26 "sub.571.17.sick" 0.290587816737162 0.28
"103" "sub.777.2.one.month" 1.25918056810447 24 "sub.777.6.ninemonth" 0.607855097258898 0.5
"104" "sub.733.3.twomonth" 1.39269783957875 18 "sub.733.4.fourmonth" 0.368699816875616 0.6
"105" "sub.670.4.fourmonth" 1.21932419876619 21 "sub.670.11.sick" 0.762243470149254 0.35
"106" "sub.782.2.one.month" 1.28565771189321 16 "sub.782.12.sick" 0.277857243023419 0.565217391304348
"107" "sub.781.2.one.month" 2.32827940309028 23 "sub.781.13.sick" 0.60124791878829 0.476190476190476
"108" "sub.731.3.twomonth" 2.65467023576583 25 NA NA NA
"109" "sub.676.4.fourmonth" 1.74820900894453 19 "sub.676.5.sixmonth" 0.322156660131918 0.575757575757576
"110" "sub.408.7.one.year" 3.57006302397267 37 NA NA NA
"111" "sub.790.2.one.month" 1.0902728985341 11 "sub.790.5.sixmonth" 0.773942829484423 0.578947368421053
"112" "sub.728.11.sick" 1.90541030251119 36 "sub.728.12.sick" 0.641784480863008 0.533333333333333
"113" "sub.470.14.sick" 3.32616164925644 36 "sub.470.7.one.year" 0.417554652312425 0.457142857142857
"114" "sub.397.7.one.year" 3.74650102235885 40 NA NA NA
"115" "sub.782.12.sick" 1.23589332245811 26 "sub.782.13.sick" 0.113529844675989 0.413793103448276
"116" "sub.760.3.twomonth" 2.95645098136611 45 "sub.760.4.fourmonth" 0.802923543280566 0.525
"117" "sub.749.3.twomonth" 1.51317704747112 30 "sub.749.4.fourmonth" 0.535131729400509 0.466666666666667
"118" "sub.782.13.sick" 1.5624862809675 32 "sub.782.14.sick" 0.336814053407299 0.514285714285714
"119" "sub.585.17.sick" 2.55984337837596 25 "sub.585.6.ninemonth" 0.334397177583816 0.482758620689655
"120" "sub.554.21.sick" 1.17584734369981 24 "sub.554.24.sick" 0.478849743813798 0.307692307692308
"121" "sub.728.12.sick" 0.99142594461435 19 "sub.728.4.fourmonth" 0.785190862275288 0.44
"122" "sub.782.14.sick" 1.62552928600798 31 "sub.782.15.sick" 0.131778580701672 0.4
"124" "sub.526.21.sick" 1.48954857565351 31 "sub.526.6.ninemonth" 0.403031636203656 0.296296296296296
"125" "sub.758.3.twomonth" 2.63096503959158 30 "sub.758.4.fourmonth" 0.813183887915937 0.269230769230769
"126" "sub.793.2.one.month" 3.15903489349264 36 "sub.793.3.twomonth" 0.547568551170233 0.540540540540541
"127" "sub.533.12.sick" 2.70689745329723 30 NA NA NA
"128" "sub.524.11.sick" 3.11025788367592 28 NA NA NA
"129" "sub.692.4.fourmonth" 3.30101219806993 35 "sub.692.12.sick" 0.324402571274351 0.419354838709677
"130" "sub.410.7.one.year" 3.01548903243482 28 NA NA NA
"131" "sub.439.7.one.year" 1.81244098381086 35 NA NA NA
"132" "sub.422.7.one.year" 1.88739028117679 39 NA NA NA
"133" "sub.782.15.sick" 1.32967308708361 22 "sub.782.3.twomonth" 0.32216 0.428571428571429
"134" "sub.571.17.sick" 1.05644363440075 31 "sub.571.6.ninemonth" 0.272128867771468 0.375
"136" "sub.436.7.one.year" 2.2789805642966 22 NA NA NA
"137" "sub.781.13.sick" 2.58938514200317 22 "sub.781.3.twomonth" 0.246816086182499 0.416666666666667
"138" "sub.604.5.sixmonth" 1.67608095434318 30 NA NA NA
