"","x"
"220","sub.793.2.one.month"
"221","sub.533.2.one.month"
"222","sub.524.2.one.month"
"223","sub.692.11.sick"
"224","sub.410.2.one.month"
"225","sub.436.2.one.month"
"226","sub.604.2.one.month"
"227","sub.394.2.one.month"
"228","sub.535.2.one.month"
"229","sub.527.2.one.month"
"230","sub.655.11.sick"
"231","sub.663.2.one.month"
"232","sub.735.2.one.month"
"233","sub.577.2.one.month"
"234","sub.711.2.one.month"
"235","sub.498.2.one.month"
"236","sub.541.2.one.month"
"237","sub.639.2.one.month"
"238","sub.729.2.one.month"
"239","sub.695.2.one.month"
"240","sub.716.2.one.month"
"241","sub.686.2.one.month"
"242","sub.355.12.sick"
"243","sub.222.2.one.month"
"244","sub.278.11.sick"
"245","sub.272.2.one.month"
"246","sub.310.2.one.month"
"247","sub.358.2.one.month"
"248","sub.16.2.one.month"
"249","sub.8.2.one.month"
"250","sub.13.2.one.month"
"251","sub.94.2.one.month"
"252","sub.60.2.one.month"
"253","sub.347.2.one.month"
"254","sub.89.2.one.month"
"255","sub.316.11.sick"
"256","sub.367.12.sick"
"257","sub.249.2.one.month"
"258","sub.198.2.one.month"
"259","sub.28.2.one.month"
"260","sub.5.2.one.month"
"261","sub.376.2.one.month"
"262","sub.179.2.one.month"
"263","sub.205.2.one.month"
"264","sub.209.2.one.month"
"265","sub.226.2.one.month"
"266","sub.225.2.one.month"
"267","sub.237.12.sick"
"268","sub.247.2.one.month"
"269","sub.233.2.one.month"
"270","sub.246.2.one.month"
"271","sub.275.2.one.month"
"272","sub.273.2.one.month"
"273","sub.290.2.one.month"
"274","sub.282.2.one.month"
"275","sub.309.2.one.month"
"276","sub.312.2.one.month"
"277","sub.321.2.one.month"
"278","sub.304.2.one.month"
"279","sub.360.2.one.month"
"280","sub.384.2.one.month"
"281","sub.364.2.one.month"
"282","sub.434.2.one.month"
"283","sub.440.2.one.month"
"284","sub.427.2.one.month"
"285","sub.454.2.one.month"
"286","sub.445.2.one.month"
"287","sub.475.2.one.month"
"288","sub.511.2.one.month"
"289","sub.563.2.one.month"
"290","sub.573.12.sick"
"291","sub.569.2.one.month"
"292","sub.601.2.one.month"
"293","sub.672.2.one.month"
"294","sub.29.3.twomonth"
"295","sub.31.3.twomonth"
"296","sub.20.3.twomonth"
"297","sub.46.3.twomonth"
"298","sub.24.3.twomonth"
"299","sub.58.3.twomonth"
"300","sub.78.3.twomonth"
"301","sub.55.3.twomonth"
"302","sub.67.3.twomonth"
"303","sub.53.3.twomonth"
"304","sub.110.3.twomonth"
"305","sub.99.3.twomonth"
"306","sub.84.3.twomonth"
"307","sub.97.3.twomonth"
"308","sub.111.3.twomonth"
"309","sub.96.3.twomonth"
"310","sub.139.3.twomonth"
"311","sub.149.3.twomonth"
"312","sub.162.3.twomonth"
"313","sub.134.3.twomonth"
"314","sub.165.3.twomonth"
"315","sub.197.3.twomonth"
"316","sub.188.3.twomonth"
"317","sub.164.3.twomonth"
"318","sub.659.3.twomonth"
"319","sub.782.3.twomonth"
"320","sub.758.3.twomonth"
"321","sub.666.3.twomonth"
"322","sub.526.12.sick"
"323","sub.781.3.twomonth"
"324","sub.554.3.twomonth"
"325","sub.665.3.twomonth"
"326","sub.728.3.twomonth"
"327","sub.484.3.twomonth"
"328","sub.738.3.twomonth"
"329","sub.671.3.twomonth"
"330","sub.571.3.twomonth"
"331","sub.733.3.twomonth"
"332","sub.731.3.twomonth"
"333","sub.676.3.twomonth"
"334","sub.408.3.twomonth"
"335","sub.470.3.twomonth"
"336","sub.397.3.twomonth"
"337","sub.760.3.twomonth"
"338","sub.749.3.twomonth"
"339","sub.585.3.twomonth"
"340","sub.793.3.twomonth"
"341","sub.533.3.twomonth"
"342","sub.524.3.twomonth"
"343","sub.422.3.twomonth"
"344","sub.604.3.twomonth"
"345","sub.438.11.sick"
"346","sub.431.3.twomonth"
"347","sub.630.3.twomonth"
"348","sub.394.3.twomonth"
"349","sub.535.3.twomonth"
"350","sub.709.3.twomonth"
"351","sub.708.3.twomonth"
"352","sub.527.12.sick"
"353","sub.655.3.twomonth"
"354","sub.663.3.twomonth"
"355","sub.657.3.twomonth"
"356","sub.621.3.twomonth"
"357","sub.464.3.twomonth"
